,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
913,Guardians of the Galaxy Vol. 2,-2017,136 min,7.6,67,"641,217",$389.81M,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
914,Baby Driver,-2017,113 min,7.6,86,"504,364",$107.83M,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
915,Bridge of Spies,-2015,142 min,7.6,81,"304,885",$72.31M,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
916,Incredibles 2,-2018,118 min,7.6,80,"281,318",$608.58M,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
917,Moana,(I) (2016),107 min,7.6,81,"315,403",$248.76M,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
918,Creed,(II) (2015),133 min,7.6,82,"265,314",$109.77M,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
919,Leviafan,-2014,140 min,7.6,92,"52,619",$1.09M,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family."
920,Hell or High Water,(II) (2016),102 min,7.6,88,"222,969",$26.86M,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
921,Philomena,-2013,98 min,7.6,77,"98,812",$37.71M,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
922,Dawn of the Planet of the Apes,-2014,130 min,7.6,79,"431,126",$208.55M,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.
923,Serbuan maut,-2011,101 min,7.6,73,"200,663",$4.11M,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.
924,End of Watch,-2012,109 min,7.6,68,"242,179",$41.00M,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves."
925,127 Hours,-2010,94 min,7.6,82,"368,826",$18.34M,"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive."
926,A Star Is Born,-2018,136 min,7.6,88,"369,722",$215.29M,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
927,True Grit,-2010,110 min,7.6,80,"331,781",$171.24M,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
928,Despicable Me,-2010,95 min,7.6,72,"529,508",$251.51M,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
929,Rise of the Planet of the Apes,-2011,105 min,7.6,68,"516,942",$176.76M,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.
930,50/50,-2011,100 min,7.6,72,"326,150",$35.01M,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
931,Kick-Ass,-2010,117 min,7.6,66,"549,849",$48.07M,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
932,Celda 211,-2009,113 min,7.6,N/A,"66,822",N/A,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal."
933,Moneyball,-2011,133 min,7.6,87,"406,714",$75.61M,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
934,La piel que habito,-2011,120 min,7.6,70,"149,091",$3.19M,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
935,Zombieland,-2009,88 min,7.6,73,"556,188",$75.59M,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America."
936,Sherlock Holmes,-2009,128 min,7.6,57,"616,156",$209.03M,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
937,The Reader,-2008,124 min,7.6,58,"240,302",$34.19M,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial."
938,The Blind Side,-2009,129 min,7.6,53,"319,725",$255.96M,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
939,Gake no ue no Ponyo,-2008,101 min,7.6,86,"138,094",$15.09M,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
940,Superbad,-2007,113 min,7.6,76,"558,131",$121.46M,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
941,Seven Pounds,-2008,123 min,7.6,36,"298,470",$69.95M,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
942,Eastern Promises,-2007,100 min,7.6,82,"238,704",$17.11M,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
943,Stardust,-2007,127 min,7.6,66,"268,000",$38.63M,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
944,United 93,-2006,111 min,7.6,90,"105,117",$31.57M,"A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot."
945,Inside Man,-2006,129 min,7.6,76,"363,557",$88.51M,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
946,Gone Baby Gone,-2007,114 min,7.6,72,"267,675",$20.30M,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
947,The Illusionist,-2006,110 min,7.6,68,"367,328",$39.87M,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
948,Kung Fu Panda,-2008,92 min,7.6,74,"451,448",$215.43M,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
949,Harry Potter and the Half-Blood Prince,-2009,153 min,7.6,78,"522,325",$301.96M,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past."
950,300,-2006,117 min,7.6,52,"794,830",$210.61M,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
951,Match Point,-2005,124 min,7.6,72,"215,093",$23.09M,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
952,Lord of War,-2005,122 min,7.6,62,"308,713",$24.15M,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.
953,Saw,-2004,103 min,7.6,46,"407,495",$56.00M,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
954,Mysterious Skin,-2004,105 min,7.6,73,"68,574",$0.70M,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth."
955,Un long dimanche de fiançailles,-2004,133 min,7.6,76,"73,286",$6.17M,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One."
956,The Station Agent,-2003,89 min,7.6,81,"69,874",$5.74M,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss."
957,Love Actually,-2003,135 min,7.6,55,"472,599",$59.70M,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
958,25th Hour,-2002,135 min,7.6,68,"176,763",$13.06M,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term."
959,I Am Sam,-2001,132 min,7.6,28,"148,638",$40.31M,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.
960,Batoru rowaiaru,-2000,114 min,7.6,81,"179,715",N/A,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
961,The Royal Tenenbaums,-2001,110 min,7.6,76,"285,507",$52.36M,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.
962,Harry Potter and the Sorcerer's Stone,-2001,152 min,7.6,65,"744,400",$317.58M,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
963,The Others,-2001,101 min,7.6,74,"357,149",$96.52M,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.
964,Traffic,-2000,147 min,7.6,86,"204,804",$124.12M,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
965,American Psycho,-2000,102 min,7.6,64,"554,634",$15.07M,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
